String ID,Enum,Chinese_Traditional
75,Purchase03,我們的歷史學家費了太多時間，請稍後再試
76,Purchase04,檔案已經恢復！
77,Any,任何
78,LanguageSetting,語言
79,Yes,是
80,No,不是
81,Skip,跳過 
82,Store,商店
83,BuildKR,構建{0}需要 ${1} 
84,Progress,總結
85,CurrentIncome,目前收入： ${0} 
86,Reset,重啟
87,GrassEnclosure,
88,GrassEnclosureDesc,
89,ForestEnclosure,
90,ForestEnclosureDesc,
91,SavannahEnclosure,
92,SavannahEnclosureDesc,
93,DesertEnclosure,
94,DesertEnclosureDesc,
95,MountainEnclosure,
96,MountainEnclosureDesc,
97,ArcticEnclosure,
98,ArcticEnclosureDesc,
99,TropicalEnclosure,
100,TropicalEnclosureDesc,
101,SmallGiftShop,
102,SmallGiftShopDesc,
103,LionHotDogShop,
104,LionHotDogShopDesc,
105,ElephantGiftShop,
106,ElephantGiftShopDesc,
107,SignboardFront,
108,SignboardFrontDesc,
109,Lamppost,
110,LamppostDesc,
111,WhiteDustbin,
112,WhiteDustbinDesc,
113,GreenDustbin,
114,GreenDustbinDesc,
115,DrinksVendingMachine,
116,DrinksVendingMachineDesc,
117,SnacksVendingMachine,
118,SnacksVendingMachineDesc,
119,PlantPot,
120,PlantPotDesc,
121,RedFlag,
122,RedFlagDesc,
123,RoundFountain,
124,RoundFountainDesc,
125,IceCreamTruck,
126,IceCreamTruckDesc,
127,BigIceCreamShop,
128,BigIceCreamShopDesc,
129,CoconutShop,
130,CoconutShopDesc,
131,PandaBurgerShop,
132,PandaBurgerShopDesc,
133,BalloonShop,
134,BalloonShopDesc,
135,FlowerPatch,
136,FlowerPatchDesc,
137,DangerSign,
138,DangerSignDesc,
139,SmallDesertRockDeco,
140,SmallDesertRockDecoDesc,
141,DesertRockDeco,
142,DesertRockDecoDesc,
143,DesertCactusDeco,
144,DesertCactusDecoDesc,
145,KangarooPizzaShop,
146,KangarooPizzaShopDesc,
147,CottonCandyShop,
148,CottonCandyShopDesc,
149,SlushieShop,
150,SlushieShopDesc,
151,ChurroShop,
152,ChurroShopDesc,
153,WoodenToliet,
154,WoodenTolietDesc,
155,SnakeHuggingBooth,
156,SnakeHuggingBoothDesc,
157,TreeExhibit,
158,TreeExhibitDesc,
159,InfoBooth,
160,InfoBoothDesc,
161,BusStop,
162,BusStopDesc,
163,BarSignboardDesc,
164,Umbrella,
165,UmbrellaDesc,
166,BigTree,
167,BigTreeDesc,
168,TikiShelter,
169,TikiShelterDesc,
170,ZooMap,
171,ZooMapDesc,
172,BrownBench,
173,BrownBenchDesc,
174,WhiteBench,
175,WhiteBenchDesc,
176,NoSwimmingSign,
177,NoSwimmingSignDesc,
178,PottedPlantDesc,
179,ThickSignboardDesc,
180,ElephantFountain,
181,ElephantFountainDesc,
182,FloorLight,
183,FloorLightDesc,
184,RustyKegShop,
185,RustyKegShopDesc,
186,PopcornWeaselShop,
187,PopcornWeaselShopDesc,
188,Nursery,
189,NurseryDesc,
190,QuarantineOffice,
191,QuarantineOfficeDesc,
192,VetOffice,
193,VetOfficeDesc,
194,ElephantMarbleFountain,
195,ElephantMarbleFountainDesc,
196,FlamingoHedge,
197,FlamingoHedgeDesc,
198,GiraffeHedge,
199,GiraffeHedgeDesc,
200,ElephantHedge,
201,ElephantHedgeDesc,
202,MonkeyStatue,
203,MonkeyStatueDesc,
204,GiantSunFlower,
205,GiantSunFlowerDesc,
206,ZooStandee,
207,ZooStandeeDesc,
208,PenguinStandee,
209,PenguinStandeeDesc,
210,BearStandee,
211,BearStandeeDesc,
212,SnakeBench,
213,SnakeBenchDesc,
214,ZooTree,
215,ZooTreeDesc,
216,SnakeSignpost,
217,SnakeSignpostDesc,
218,UmbrellaBench,
219,UmbrellaBenchDesc,
220,MonkeyBanner,
221,MonkeyBannerDesc,
222,SakuraTree,
223,SakuraTreeDesc,
224,LionPlayground,
225,LionPlaygroundDesc,
226,SpringChicken,
227,SpringChickenDesc,
228,SpringHorse,
229,SpringHorseDesc,
230,RockElephant,
231,RockElephantDesc,
232,YellowBush,
233,YellowBushDesc,
234,RedFlower,
235,RedFlowerDesc,
236,WhiteFlower,
237,WhiteFlowerDesc,
238,PurpleFlower,
239,PurpleFlowerDesc,
240,PurpleFlowerPatch,
241,PurpleFlowerPatchDesc,
242,PenguinTrashbin,
243,PenguinTrashbinDesc,
244,SealStandee,
245,SealStandeeDesc,
246,RedShelter,
247,RedShelterDesc,
248,CrocCrossingSign,
249,CrocCrossingSignDesc,
250,MenuSign,
251,MenuSignDesc,
252,SmallBarTable,
253,SmallBarTableDesc,
254,NoPhotoSign,
255,NoPhotoSignDesc,
256,OwlClock,
257,OwlClockDesc,
258,HeShee,
259,HeSheeDesc,
260,Totem,
261,TotemDesc,
262,AztecSign,
263,AztecSignDesc,
264,AztecTorch,
265,AztecTorchDesc,
266,AztecPlant,
267,AztecPlantDesc,
268,WoodenTotem,
269,WoodenTotemDesc,
270,StoreRoom,
271,StoreRoomDesc,
272,ArchitectOffice,
273,ArchitectOfficeDesc,
274,LargeArchitectOffice,
275,ArchitectOfficeDesc,
276,GlueFactory,
277,GlueFactoryDesc,
278,BaconFactory,
279,BaconFactoryDesc,
280,BuffaloWingFactory,
281,BuffaloWingFactoryDesc,
282,Barn,
283,BarnDesc,
284,WheatFarmPlot,
285,WheatFarmPlotDesc,
286,Silo,
287,SiloDesc,
288,Floor_RedCircles,
289,Floor_RedCirclesDesc,
290,Floor_GreenGrass,
291,Floor_GreenGrassDesc,
292,Floor_Dirt,
293,Floor_DirtDesc,
294,Floor_GreyBricks,
295,Floor_GreyBricksDesc,
296,PalmTree,
297,PalmTreeDesc,
298,GreenTree,
299,GreenTreeDesc,
300,LongGrass,
301,LongGrassDesc,
302,IrisPlantPot,
303,IrisPlantPotDesc,
304,YellowPlantPot,
305,YellowPlantPotDesc,
306,BonsaiPlantPot,
307,BonsaiPlantPotDesc,
308,Ferns,
309,FernsDesc,
310,SmallRock,
311,SmallRockDesc,
312,MediumRock,
313,MediumRockDesc,
314,LargeMossyRock,
315,LargeMossyRockDesc,
316,TigerPhoto,
317,TigerPhotoDesc,
318,NoticeBoard,
319,NoticeBoardDesc,
320,BeetleGlassExhibit,
321,BeetleGlassExhibitDesc,
322,ButterflyGlassExhibit,
323,ButterflyGlassExhibitDesc,
324,GlassExhibit,
325,GlassExhibitDesc,
326,Floor_BlueCircleTiles,
327,Floor_BlueCircleTilesDesc,
328,Floor_ColorfulBrickTile,
329,Floor_ColorfulBrickTileDesc,
330,Floor_OrangeTiles,
331,Floor_OrangeTilesDesc,
332,Floor_WoodenBoards,
333,Floor_WoodenBoardsDesc,
334,Floor_MetalDecoTile,
335,Floor_MetalDecoTileDesc,
336,Floor_PawDecoTile,
337,Floor_PawDecoTileDesc,
338,EmptySoilPatch,
339,EmptySoilPatchDesc,
340,MiniFountain,
341,ElegantTallFountain,
342,HedgeArchYellowFlowers,
343,HedgeArchWhiteFlowers,
344,WhiteMetalVineArch,
345,BlackMetalRoseArch,
346,PeacockBush,
347,Binoculars,
348,TwinLamppost,
349,CurlLampPost,
350,TwinCurlsLampPost,
351,WoodenLampPost,
352,TripletsLampPost,
353,ClassicLampPost,
354,WhiteClassicLampPost,
355,FlamingoLampPost,
356,SealLampPost,
357,BallLampPost,
358,SwingingBench,
359,GreenGardenBench,
360,GreenChair,
361,WoodenChair,
362,LongWoodenBench,
363,CamelChair,
364,Greenhouse,
365,Placeholder,
366,PandaChair,
367,ATMMachine,
368,SmallSpeaker,
369,LargeSpeaker,
370,RockSpeaker,
371,IceSpeaker,
372,KatCoffeeShop,
373,ShellShackShop,
374,TacoTruck,
375,PretzelShop,
376,Slaughterhouse,
377,IglooToliet,
378,LionTrashbin,
379,BearTrashbin,
380,Floor_Cobblestone,
381,Floor_PinkSmallTiles,
382,Floor_BrownOctoTile,
383,Floor_BrownOctoTile2,
384,Floor_GreenAndBlueDiamondTile,
385,Floor_BrownSquareTile,
386,PineTree,
387,BrickToliet,
388,EggBatteryFarm,
389,ColoredTree,
390,DarkBush,
391,Cactus,
392,Floor_Snow,
393,PenguinSignboard,
394,IceArch,
395,SmallIceRocks,
396,ThinIceRocks,
397,IceCrystals,
398,Snowman,
399,IcyTree,
400,LionSnowSculpture,
401,SealIceSculpture,
402,DeerIceSculpture,
403,BearIceSculpture,
404,BirdIceSculpture,
405,GiraffeIceSculpture,
406,BlueGrass,
407,IceShelter,
408,ZooIceSign,
409,IceCastle,
410,IceChair,
411,GiantTree,
412,ZooRockSign,
413,GiantPigBalloon,
414,Bamboo,
415,WaterTower,
416,Cart,
417,SmallBush,
418,DeadTree,
419,WantedPoster,
420,BigRocks,
421,Pyramid,
422,SandTower,
423,SmallPyramid,
424,Sphinx,
425,PalmTreesTall,
426,TileBusStop,
427,Anubis,
428,WesternWindmill,
429,JungleToliet,
430,TreeLogBench,
431,TreeStump,
432,GlowingPlant,
433,RedMushrooms,
434,BrownMushrooms,
435,LeafyFern,
436,LargeFern,
437,TreeWithVines,
438,TreeSwing,
439,JungleArch,
440,JungleWaterfall,
441,MushroomShelter,
442,Floor_WoodenPlanks,
443,Floor_WoodenTrunk,
444,Floor_StonePebbles,
445,Volume_Water,
446,Volume_WoodenBridge,
447,ChocolateVendingMachine,
448,RockyWaterfall,
449,WaterTrough,
450,ImpossibleBuilding,
451,DNABuilding,
452,MeatProcessor,
453,AnimalColosseum,
454,Incinerator,
455,MiniFountainDesc,
456,ElegantTallFountainDesc,
457,HedgeArchYellowFlowersDesc,
458,HedgeArchWhiteFlowersDesc,
459,WhiteMetalVineArchDesc,
460,BlackMetalRoseArchDesc,
461,PeacockBushDesc,
462,BinocularsDesc,
463,TwinLamppostDesc,
464,CurlLampPostDesc,
465,TwinCurlsLampPostDesc,
466,WoodenLampPostDesc,
467,TripletsLampPostDesc,
468,ClassicLampPostDesc,
469,WhiteClassicLampPostDesc,
470,FlamingoLampPostDesc,
471,SealLampPostDesc,
472,BallLampPostDesc,
487,Count,
